from	to	weight
GO:0002252	GO:0002697	0.595
GO:0050778	GO:0002697	0.38
GO:0051249	GO:0002697	0.401
GO:0001909	GO:0002697	0.333
GO:0001910	GO:0002697	0.562
GO:0002700	GO:0002697	0.612
GO:0002768	GO:0002697	0.318
GO:0002366	GO:0002697	0.302
GO:0002697	GO:0002252	0.595
GO:0002250	GO:0002252	0.388
GO:0002440	GO:0002252	0.387
GO:0001909	GO:0002252	0.538
GO:0001910	GO:0002252	0.323
GO:0002700	GO:0002252	0.357
GO:0042267	GO:0002252	0.306
GO:0002228	GO:0002252	0.344
GO:0002366	GO:0002252	0.464
GO:0002697	GO:0050778	0.38
GO:0002250	GO:0050778	0.397
GO:0002367	GO:0050778	0.304
GO:0031347	GO:0050778	0.304
GO:0002768	GO:0050778	0.481
GO:0002252	GO:0002250	0.388
GO:0050778	GO:0002250	0.397
GO:0002367	GO:0002250	0.441
GO:0002228	GO:0002250	0.347
GO:0002366	GO:0002250	0.439
GO:0002697	GO:0051249	0.401
GO:0001910	GO:0051249	0.341
GO:0046651	GO:0051249	0.434
GO:0002768	GO:0051249	0.315
GO:0002366	GO:0051249	0.354
GO:0031347	GO:0006954	0.484
GO:0002228	GO:0006954	0.304
GO:0002440	GO:0032649	0.326
GO:0002367	GO:0032649	0.376
GO:0002700	GO:0032649	0.465
GO:0032609	GO:0032649	0.627
GO:0002252	GO:0002440	0.387
GO:0032649	GO:0002440	0.326
GO:0002367	GO:0002440	0.666
GO:0002700	GO:0002440	0.587
GO:0032609	GO:0002440	0.497
GO:0002697	GO:0001909	0.333
GO:0002252	GO:0001909	0.538
GO:0001910	GO:0001909	0.616
GO:0042267	GO:0001909	0.589
GO:0002228	GO:0001909	0.301
GO:0002366	GO:0001909	0.352
GO:0080164	GO:0045428	0.7
GO:0046209	GO:0045428	0.431
GO:0006809	GO:0045428	0.669
GO:0045428	GO:0080164	0.7
GO:0046209	GO:0080164	0.64
GO:0006809	GO:0080164	0.444
GO:2001057	GO:0080164	0.403
GO:0045428	GO:0046209	0.431
GO:0080164	GO:0046209	0.64
GO:0006809	GO:0046209	0.659
GO:2001057	GO:0046209	0.63
GO:0045428	GO:0006809	0.669
GO:0080164	GO:0006809	0.444
GO:0046209	GO:0006809	0.659
GO:2001057	GO:0006809	0.412
GO:0002697	GO:0001910	0.562
GO:0002252	GO:0001910	0.323
GO:0051249	GO:0001910	0.341
GO:0001909	GO:0001910	0.616
GO:0002700	GO:0001910	0.361
GO:0042267	GO:0001910	0.384
GO:0050778	GO:0002367	0.304
GO:0002250	GO:0002367	0.441
GO:0032649	GO:0002367	0.376
GO:0002440	GO:0002367	0.666
GO:0002700	GO:0002367	0.407
GO:0032609	GO:0002367	0.559
GO:0002366	GO:0002367	0.32
GO:0002697	GO:0002700	0.612
GO:0002252	GO:0002700	0.357
GO:0032649	GO:0002700	0.465
GO:0002440	GO:0002700	0.587
GO:0001910	GO:0002700	0.361
GO:0002367	GO:0002700	0.407
GO:0050778	GO:0031347	0.304
GO:0006954	GO:0031347	0.484
GO:0002252	GO:0042267	0.306
GO:0001909	GO:0042267	0.589
GO:0001910	GO:0042267	0.384
GO:0002228	GO:0042267	0.826
GO:0002366	GO:0042267	0.325
GO:0009617	GO:0042267	0.365
GO:0002252	GO:0002228	0.344
GO:0002250	GO:0002228	0.347
GO:0006954	GO:0002228	0.304
GO:0001909	GO:0002228	0.301
GO:0042267	GO:0002228	0.826
GO:0002366	GO:0002228	0.319
GO:0009617	GO:0002228	0.433
GO:0080164	GO:2001057	0.403
GO:0046209	GO:2001057	0.63
GO:0006809	GO:2001057	0.412
GO:0051249	GO:0046651	0.434
GO:0032943	GO:0046651	0.625
GO:0002366	GO:0046651	0.391
GO:0046651	GO:0032943	0.625
GO:0002697	GO:0002768	0.318
GO:0050778	GO:0002768	0.481
GO:0051249	GO:0002768	0.315
GO:0043950	GO:0002768	0.339
GO:0007186	GO:0002768	0.593
GO:0032649	GO:0032609	0.627
GO:0002440	GO:0032609	0.497
GO:0002367	GO:0032609	0.559
GO:0002768	GO:0043950	0.339
GO:0007186	GO:0043950	0.426
GO:0002697	GO:0002366	0.302
GO:0002252	GO:0002366	0.464
GO:0002250	GO:0002366	0.439
GO:0051249	GO:0002366	0.354
GO:0001909	GO:0002366	0.352
GO:0002367	GO:0002366	0.32
GO:0042267	GO:0002366	0.325
GO:0002228	GO:0002366	0.319
GO:0046651	GO:0002366	0.391
GO:0002768	GO:0007186	0.593
GO:0043950	GO:0007186	0.426
GO:0042267	GO:0009617	0.365
GO:0002228	GO:0009617	0.433
